loss,val_loss,acc,val_acc
0.5883,0.4737,0.7544,0.885
0.4405,0.4028,0.9013,0.9027
0.3927,0.3659,0.9189,0.9204
0.3628,0.342,0.9211,0.9381
0.3423,0.3248,0.9211,0.9381
0.3279,0.3109,0.9254,0.9381
0.3158,0.2995,0.9232,0.9381
0.3083,0.2896,0.9276,0.9381
0.2979,0.2814,0.9254,0.9381
0.2886,0.2739,0.9232,0.9469
0.2826,0.2672,0.9254,0.9469
0.2753,0.261,0.9232,0.9469
0.2698,0.2552,0.9232,0.9469
0.2643,0.25,0.9254,0.9469
0.2602,0.245,0.9298,0.9469
0.2564,0.2404,0.932,0.9469
0.2502,0.2361,0.9276,0.9469
0.2493,0.2319,0.932,0.9469
0.2453,0.2281,0.932,0.9558
0.2397,0.2246,0.9298,0.9558
0.2373,0.2211,0.9342,0.9558
0.233,0.2177,0.9342,0.9558
0.228,0.2145,0.9342,0.9558
0.2256,0.2113,0.9342,0.9558
0.222,0.2084,0.9342,0.9558
0.2228,0.2055,0.9342,0.9558
0.2171,0.2029,0.9364,0.9558
0.2165,0.2002,0.9364,0.9558
0.212,0.1976,0.9364,0.9558
0.209,0.1951,0.9408,0.9558
0.2079,0.1926,0.9408,0.9558
0.2052,0.1904,0.9408,0.9735
0.2019,0.1882,0.9408,0.9735
0.2,0.186,0.9408,0.9735
0.1972,0.1839,0.943,0.9735
0.1957,0.1817,0.9452,0.9735
0.1954,0.1798,0.9452,0.9735
0.192,0.1777,0.943,0.9735
0.1913,0.1759,0.9452,0.9735
0.1878,0.1741,0.9452,0.9735
0.188,0.1721,0.9452,0.9735
0.1845,0.1704,0.9474,0.9735
0.1825,0.1687,0.9474,0.9735
0.1822,0.167,0.9518,0.9735
0.1792,0.1654,0.9539,0.9646
0.1771,0.1639,0.9539,0.9646
0.1755,0.1624,0.9539,0.9646
0.1749,0.1607,0.9539,0.9646
0.1721,0.1593,0.9539,0.9735
0.1731,0.1579,0.9539,0.9735
0.171,0.1565,0.9539,0.9735
0.1687,0.1552,0.9539,0.9735
0.1672,0.1537,0.9539,0.9735
0.1655,0.1524,0.9539,0.9735
0.164,0.1509,0.9539,0.9735
0.1623,0.1497,0.9539,0.9735
0.1641,0.1486,0.9539,0.9735
0.1597,0.1475,0.9539,0.9735
0.1601,0.1464,0.9539,0.9735
0.1576,0.145,0.9539,0.9735
0.1557,0.144,0.9539,0.9735
0.1557,0.1429,0.9539,0.9735
0.1562,0.1416,0.9539,0.9735
0.1545,0.1407,0.9539,0.9646
0.1511,0.1397,0.9539,0.9646
0.1504,0.1387,0.9539,0.9646
0.1512,0.1378,0.9539,0.9558
0.1494,0.1368,0.9539,0.9558
0.1479,0.1355,0.9539,0.9558
0.1466,0.1351,0.9539,0.9558
0.1453,0.134,0.9539,0.9558
0.147,0.1331,0.9539,0.9558
0.1449,0.1321,0.9539,0.9558
0.1434,0.1315,0.9539,0.9558
0.1442,0.1304,0.9539,0.9558
0.1402,0.1298,0.9539,0.9558
0.1404,0.1287,0.9561,0.9558
0.1386,0.1281,0.9561,0.9558
0.1379,0.1274,0.9561,0.9558
0.1389,0.1267,0.9583,0.9558
0.1369,0.1258,0.9583,0.9558
0.1354,0.1254,0.9583,0.9558
0.1354,0.1243,0.9583,0.9558
0.1362,0.124,0.9583,0.9558
0.1327,0.1231,0.9583,0.9558
0.1323,0.1224,0.9583,0.9558
0.1323,0.1218,0.9627,0.9558
0.1308,0.1211,0.9627,0.9558
0.1302,0.1205,0.9649,0.9558
